event_id,issueID,reader_id,section,time_on_section,device,timestamp
EV015716,ISS-1063,R19991,new_arrivals,71,TABLET,2025-03-11
EV010164,ISS-1041,R59530,Deals of the Wek,65,App,2024-10-08T10:27:00
EV003116,ISS-1013,R44297,Sponsor Spotlight,12431,desktop,2024-03-26
EV017963,ISS-1072,R70881,new_arrivals,19,app,05/13/2025
EV016741,ISS-1066,R53209,Sponsored Spotlight,0m 37s,iPad,2025-03-31T22:54:00
EV013180,ISS-1053,R52810,Tech & Gadgets,90,web,2024-12-31 23:06:00
EV017401,ISS-1069,R32901,Home  & Living,36,MOBILE,"Apr 21, 2025"
EV009413,ISS-1038,R69214,new arrivals,69,App,2024-09-17T08:42:00
EV012459,ISS-1050,R40739,Home&Living,00:00:09,Mobile,2024-12-10T18:14:00
EV016725,ISS-1066,R55060,DEALS OF THE WEEK,2.5 min,mobile app,2025-04-02T23:35:00
EV008691,ISS-1035,R68029,Editor’s Picks,3,Android App,08/28/2024
EV000043,ISS-1001,R43643,editor's picks,85,Desktop,2024-01-03 13:13:00
EV011101,ISS-1045,R71804,deals,0m 18s,iPhone,2024-11-04T14:43:00
EV018933,ISS-1076,R74878,DEALS OF THE WEEK,00:01:47,MOBILE,2025-06-11T03:52:00
EV001502,ISS-1006,R32521,deals of the week,00:00:47,Android,"Feb 07, 2024"
EV016218,ISS-1064,R65150,Deals ,142,mobile,2025-03-19T12:54:00
EV017236,ISS-1068,R36669,Q&A,16,PC,2025-04-14
EV000986,ISS-1004,R83600,deals,127,Android,2024-01-22T18:38:00
EV015041,ISS-1060,R03548,DEALS OF THE WEEK,173,desktop,18-Feb-25
EV014871,ISS1060,R25179,New Arrivals,1.7 min,Android,2025-02-17T05:56:00
EV011583,ISS-1047,R41555,Tech&Gadgets,1.3 min,Tablet,2024-11-20T10:51:00
EV015771,ISS-1063,R70763,Deals ,11725,Desktop,2025-03-10T11:20:00
EV018060,ISS-1072,R81305,Sponsor Spotlight,6,mobile app,2025-05-13
EV017956,ISS-1072,R33921,Reader Q & A,0m 13s,tablet,2025-05-14T16:06:00
EV009947,ISS-1040,R89474,editor's picks,00:02:14,phone,2024-09-30
EV000537,ISS-1003,R67287,Tech / Gadgets,0.1 min,TABLET,2024-01-15T04:31:00
EV010259,ISS-1041,R47704,SPONSORED SPOTLIGHT,0.4 min,tablet,2024-10-08T09:24:00
EV001688,ISS-1007,R46693,EDITORS PICKS,49,web,"Feb 14, 2024"
EV004780,ISS-1020,R28073,NewArrivals,00:01:35,iOS App,2024-05-15T16:27:00
EV009785,ISS-1039,R05838,Tech&Gadgets,156,Mobile,"Sep 24, 2024"
EV005933,ISS1024,R50635,Editor's Picks,1m 3s,Android App,2024-06-11 02:01:00
EV002870,ISS-1011,R53503,Home  & Living,24,Web,2024-03-13T03:46:00
EV001736,ISS-1007,R88235,deals,113,Web,2024-02-14T16:39:00
EV004098,ISS-1016,R49458,New Arrivals,167,web,2024-04-16T00:48:00
EV007408,ISS-1030,R10849,Tech / Gadgets,0m 36s,Android App,2024-07-22
EV000972,ISS-1004,R11819,reader q&a,1m 31s,web,2024-01-23T06:54:00
EV001090,ISS-1005,R72624,deals,5m 16s,PC,2024-01-30
EV003306,ISS-1013,R26672,Deals ,1m 16s,Mobile,"Mar 25, 2024"
EV018911,ISS-1076,R24848,Tech / Gadgets,0m 32s,App,06/10/2025
EV003591,ISS-1015,R75261,DEALS OF THE WEEK,81,mobile app,"Apr 08, 2024"
EV009666,ISS-1039,R35674,DEALS OF THE WEEK,138,MOBILE,2024-09-25
EV009895,ISS-1040,R66521,Tech & Gadgets,1m 34s,Android App,2024-09-30T21:44:00
EV012183,ISS-1049,R49087,Deals ,3.2 min,web,12/04/2024
EV014832,ISS-1059,R27281,Tech&Gadgets,17197,Web,10-Feb-25
EV011434,ISS-1046,R65360,Deals ,44,iOS App,"Nov 12, 2024"
EV005902,ISS-1024,R59154,new arrivals,100,Mobile,"Jun 11, 2024"
EV003841,ISS-1015,R83050,Tech & Gadgets,1.1 min,desktop,2024-04-09T06:53:00
EV004863,ISS-1020,R10209,EDITORS PICKS,-30,App,2024-05-13
EV006498,ISS-1026,R75525,Sponsored Spotlight,49,Web,2024-06-25T22:23:00
EV006215,ISS-1025,R31266, Deals of the Week,16461,Web,2024-06-19T21:50:00
EV018614,ISS-1075,R47248,New Arrivals,0m 41s,desktop,2025-06-03T07:21:00
EV016677,ISS-1066,R78318,Editor's Picks,1m 29s,Web,2025-04-02T02:53:00
EV012011,ISS-1048,R16791,Tech and Gadgets,2.7 min,PC,25-Nov-24
EV009615,ISS-1038,R30290, Deals of the Week,110,web,2024-09-17T21:13:00
EV015624,ISS-1062,R10917,deals of the week,00:02:14,MOBILE,2025-03-03 16:17:00
EV000565,ISS1003,R63069,new_arrivals,0m 16s,iPad,"Jan 15, 2024"
EV017743,ISS-1071,R83568,New Arrivals,29,App,2025-05-07T21:51:00
EV018306,ISS-1073,R20178,NewArrivals,113,Web,"May 19, 2025"
EV003699,ISS-1015,R65633, Deals of the Week,00:01:29,iPhone,2024-04-08
EV019679,ISS-1078,R44085,New Arrivals,NULL,iOS App,2025-06-25
EV017912,ISS-1071,R83711,Deals of the Wek,75,Mobile,2025-05-07T20:01:00
EV013819,ISS-1056,R13267,Tech / Gadgets,00:01:26,phone,2025-01-22
EV018069,ISS-1072,R41643,deals,139,iPad,05/14/2025
EV016575,ISS-1066,R17431,Tech / Gadgets,52,Web,"Mar 31, 2025"
EV011397,ISS-1046,R59981,Editor's Picks,-30,Desktop,2024-11-13T16:45:00
EV017460,ISS-1069,R85410,deals of the week,54,App,2025-04-21T01:46:00
EV001648,ISS-1007,R16177,Tech and Gadgets,0m 48s,Android,2024-02-13
EV009449,ISS-1038,R39560,new arrivals,3m 9s,TABLET,17-Sep-24
EV001625,ISS-1007,R51606,DEALS OF THE WEEK,241,mobile app,2024-02-12
EV004016,ISS-1016,R29315,deals,00:00:16,app,"Apr 17, 2024"
EV014934,ISS1060,R66098,tech & gadgets,1.0 min,tablet,2025-02-19
EV000208,ISS-1001,R08131,Deals of the Wek,114,PC,2024-01-02T12:43:00
EV002250,ISS1009,R05514,Home  & Living,71,TABLET,2024-02-27
EV001864,ISS-1008,R11527,deals,00:00:33,Android App,2024-02-20T11:51:00
EV006248,ISS-1025,R05252,Home & Living,1m 11s,iPhone,2024-06-18T01:11:00
EV014653,ISS-1059,R05628,Q&A,N/A,Mobile,12-Feb-25
EV019657,ISS-1078,R18360,deals,00:01:23,phone,NULL
EV009683,ISS-1039,R78964,deals,64,PC,09/23/2024
EV001100,ISS-1005,R20274, Deals of the Week,203,TABLET,2024-01-29
EV018493,ISS1074,R51397,tech & gadgets,10,iPad,26-May-25
EV004020,ISS-1016,R14011,deals of the week,12647,desktop,2024-04-15T07:08:00
EV002927,ISS-1012,R85268,Deals ,265,Tablet,2024-03-20
EV002939,ISS-1012,R25800,Sponsor Spotlight,0m 44s,PC,2024-03-19T09:44:00
EV010360,ISS1042,R77374,Deals of the Week,5,iPhone,2024-10-14T13:26:00
EV007876,ISS-1031,R12445,deals of the week,00:00:33,MOBILE,2024-07-29 21:28:00
EV003958,ISS-1016,R75327,sponsored spotlight,22,tablet,16-Apr-24
EV017227,ISS-1068,R84415,Editor’s Picks,18379,iPad,2025-04-15T07:31:00
EV015107,ISS-1061,R55543,Deals ,85,Mobile,2025-02-26
EV001589,ISS-1007,R57376,Sponsored,0.4 min,MOBILE,2024-02-12
EV001818,ISS1007,R77930,DEALS OF THE WEEK,38,phone,2024-02-12
EV002747,ISS-1011,R78532,NewArrivals,1.3 min,iOS App,"Mar 12, 2024"
EV011354,ISS1046,R71223,NewArrivals,72,App,2024-11-13T07:58:00
EV014995,ISS-1060,R18210,Tech&Gadgets,1.2 min,TABLET,2025-02-18
EV011223,ISS-1045,R82440,Editor's Picks,00:00:58,web,2024-11-05
EV018394,ISS-1074,R35919,Editor’s Picks,-30,MOBILE,2025-05-28T01:00:00
EV014555,ISS-1058,R37149,NewArrivals,00:00:19,iPad,2025-02-03
EV017613,ISS-1070,R06441,new_arrivals,17,App,2025-04-29T22:07:00
EV009284,ISS-1037,R54940,Editors Picks,0.4 min,iOS App,2024-09-11T13:57:00
EV016010,ISS-1063,R36832,new arrivals,#N/A,desktop,10-Mar-25
EV002255,ISS-1009,R84362, Deals of the Week,9697,Web,2024-02-27T23:12:00
EV018932,ISS-1076,R75378,Deals ,161,desktop,06/11/2025
EV014041,ISS-1056,R08113,Home and Living,106,desktop,2025-01-22
EV003144,ISS-1013,R65259,tech & gadgets,00:00:29,phone,2024-03-25T12:01:00
EV009312,ISS-1037,R07661,deals of the week,68,Web,2024-09-11T04:07:00
EV012914,ISS1052,R02733,Editor's Picks,0.2 min,web,2024-12-25T16:22:00
EV008160,ISS-1033,R19926,deals of the week,0m 59s,web,2024-08-13
EV000170,ISS-1001,R22281,deals,1m 46s,mobile app,2024-01-02T21:32:00
EV018376,ISS-1073,R52862, Deals of the Week,00:00:08,desktop,2025-05-19
EV008928,ISS-1036,R75312,Sponsored,0.2 min,Tablet,2024-09-04T10:46:00
EV011527,ISS-1046,R74656,EDITORS PICKS,0m 25s,iPad,2024-11-11
EV001176,ISS-1005,R34178,deals of the week,2m 15s,iPhone,2024-01-30T02:28:00
EV018039,ISS-1072,R37944,Home & Living,0.7 min,mobile app,12-May-25
EV012509,ISS-1050,R28985,Sponsor Spotlight,00:00:30,mobile,2024-12-10
EV005712,ISS-1023,R25577,deals,00:02:39,tablet,2024-06-04T06:40:00
EV011005,ISS-1044,R71914,Editors Picks,0m 23s,MOBILE,2024-10-30T17:06:00
EV005169,ISS-1021,R16281,New Arrivals,0.6 min,PC,"May 22, 2024"
EV001712,ISS-1007,R00198,Home  & Living,29,mobile app,2024-02-13T00:58:00
EV001251,ISS-1005,R21876,SPONSORED SPOTLIGHT,30,app,2024-01-30T08:33:00
EV010683,ISS-1043,R08521,Deals of the Week,109,mobile app,10/21/2024
EV010111,ISS-1040,R20056,sponsored spotlight,31,Mobile,2024-10-01T11:01:00
EV000657,ISS-1003,R48259,Deals of the Wek,-30,TABLET,2024-01-17
EV005758,ISS-1023,R69614,Deals of the Wek,0m 53s,iPhone,2024-06-03T19:24:00
EV006678,ISS-1027,R88968,Home and Living,33,iOS App,"Jul 02, 2024"
EV001247,ISS1005,R22518,editor's picks,24,PC,2024-01-30
EV005681,ISS-1023,R52022,Tech & Gadgets,321,Tablet,06/05/2024
EV017115,ISS1068,R79629,Sponsored Spotlight,00:00:16,mobile app,2025-04-14T18:47:00
EV009104,ISS-1036,R04919,deals of the week,0m 38s,tablet,09/02/2024
EV006514,ISS-1026,R19025,deals of the week,4.9 min,iPad,2024-06-24T01:29:00
EV000243,ISS-1001,R61790,NewArrivals,0.9 min,Tablet,2024-01-01
EV004998,ISS-1020,R54866,Editor's Picks,00:00:58,Tablet,2024-05-14T13:38:00
EV012474,ISS-1050,R81376,Sponsored,0m 42s,Web,"Dec 10, 2024"
EV005480,ISS-1022,R32961,Editors Picks,116,Mobile,2024-05-30T00:41:00
EV001769,ISS-1007,R65845,Reader QandA,2m 13s,TABLET,2024-02-12T12:25:00
EV000629,ISS1003,R11942,home & living,1.3 min,mobile app,2024-01-17
EV014293,ISS-1057,R75301,deals,182,app,2025-01-27
EV016889,ISS-1067,R81162,home & living,0.6 min,iPhone,2025-04-08T06:48:00
EV010855,ISS-1044,R32869,Editors Picks,50,TABLET,2024-10-28T09:34:00
EV011277,ISS-1045,R66400,NewArrivals,0.7 min,desktop,2024-11-05T18:51:00
EV018022,ISS-1072,R49712,DEALS OF THE WEEK,147,PC,13-May-25
EV009368,ISS-1037,R08415,deals of the week,1.1 min,PC,2024-09-10T14:19:00
EV013701,ISS-1055,R67172,Editors Picks,61,Desktop,2025-01-14T21:35:00
EV012627,ISS-1051,R26385,new arrivals,00:01:56,iPhone,2024-12-18
EV013232,ISS-1053,R24929,Deals of the Week,0m 26s,iPad,2024-12-31T06:04:00
EV009481,ISS-1038,R85164,Editor’s Picks,00:00:10,Android,2024-09-17
EV016408,ISS-1065,R87878,NewArrivals,1.9 min,MOBILE,2025-03-24T19:56:00
EV013994,ISS-1056,R23676,New  Arrivals,0.6 min,App,2025-01-21T21:01:00
EV008773,ISS-1035,R45488,new_arrivals,0.4 min,desktop,08/28/2024
EV000778,ISS-1004,R71445,reader q&a,45,App,2024-01-22T14:17:00
EV005911,ISS-1024,R85685,Sponsored,1m 0s,web,2024-06-12T19:36:00
EV006858,ISS-1027,R64679,home & living,0m 11s,MOBILE,2024-07-01
EV003224,ISS-1013,R75235,DEALS OF THE WEEK,00:01:39,Web,2024-03-26T13:38:00
EV003763,ISS-1015,R14013,New Arrivals,57,Android,2024-04-09T06:41:00
EV000874,ISS-1004,R10564,Home  & Living,33,Android,2024-01-24T05:38:00
EV012899,ISS-1052,R45945,Home  & Living,114,Web,2024-12-26
EV002882,ISS-1011,R89778,Sponsored Spotlight,35,TABLET,2024-03-12T22:49:00
EV005910,ISS-1024,R50604,SPONSORED SPOTLIGHT,00:00:31,iOS App,2024-06-10T23:38:00
EV009510,ISS-1038,R80556,New Arrivals,32,Desktop,16-Sep-24
EV003599,ISS-1015,R05882,tech & gadgets,72,Web,2024-04-09T14:52:00
EV000073,ISS-1001,R76090,EDITORS PICKS,99,Web,01/03/2024
EV016349,ISS1065,R64376,New  Arrivals,88,web,2025-03-24
EV007119,ISS-1029,R06538,EDITORS PICKS,24,Tablet,2024-07-17T17:52:00
EV008614,ISS-1035,R28364,Tech and Gadgets,28,PC,2024-08-27
EV017179,ISS-1068,R81868,new arrivals,00:01:11,iOS App,2025-04-15T08:44:00
EV017547,ISS-1070,R78292,new arrivals,-30,Android,2025-04-30T11:00:00
EV006034,ISS-1025,R70798,Tech & Gadgets,16,iPad,2024-06-18T15:39:00
EV002282,ISS-1009,R78662,deals,00:00:21,Tablet,2024-02-26T08:21:00
EV004255,ISS-1017,R64238,home & living,18855,Android App,2024-04-22
EV005703,ISS-1023,R12157,Editor’s Picks,00:00:09,mobile,2024-06-03T23:14:00
EV002458,ISS-1010,R28188,Tech & Gadgets,110,Tablet,2024-03-04T11:47:00
EV006615,ISS-1027,R78194,Tech / Gadgets,1m 15s,app,"Jul 03, 2024"
EV002974,ISS-1012,R03508,Deals ,1.3 min,iOS App,2024-03-19T04:33:00
EV005102,ISS-1021,R82738,New  Arrivals,102,mobile app,2024-05-20T20:18:00
EV000847,ISS-1004,R41060,new_arrivals,00:02:07,iOS App,2024-01-22T12:08:00
EV007167,ISS-1029,R52359,Editor's Picks,35,Android App,2024-07-16 05:53:00
EV015812,ISS-1063,R44951,tech & gadgets,152,iOS App,2025-03-12T19:54:00
EV003049,ISS-1012,R85415,Home&Living,18,PC,2024-03-20T02:40:00
EV004917,ISS-1020,R44128,Deals ,00:02:36,MOBILE,2024-05-14T01:59:00
EV002152,ISS-1009,R30416,DEALS OF THE WEEK,00:00:26,iPad,2024-02-26 22:39:00
EV018743,ISS-1075,R72400,new_arrivals,21,Tablet,06/02/2025
EV006383,ISS-1026,R54366,editor's picks,93,Tablet,2024-06-24
EV003474,ISS-1014,R23030,new arrivals,00:01:00,tablet,01-Apr-24
EV017466,ISS1069,R01960,New  Arrivals,50,iPad,2025-04-23T14:05:00
EV011665,ISS-1047,R61564,editor's picks,42,Tablet,2024-11-19
EV012865,ISS-1051,R06504,Tech & Gadgets,2m 13s,app,2024-12-18T16:15:00
EV018537,ISS-1074,R80338,Tech&Gadgets,113,mobile,2025-05-27
EV008670,ISS1035,R47947,New Arrivals,0,iPad,2024-08-27T13:34:00
EV013022,ISS-1052,R87320,Reader Q&A,0.6 min,phone,2024-12-24
EV005432,ISS-1022,R72563,Deals ,3.5 min,iPad,"May 27, 2024"
EV016942,ISS-1067,R13328,Editor's Picks,19,Tablet,"Apr 07, 2025"
EV012190,ISS-1049,R48127,deals,0,app,2024-12-02T20:56:00
EV010839,ISS-1044,R09843,deals of the week,11475,tablet,2024-10-29T10:16:00
EV002785,ISS-1011,R19975,DEALS OF THE WEEK,147,TABLET,"Mar 11, 2024"
EV006322,ISS-1026,R81912,Tech&Gadgets,48,TABLET,2024-06-26
EV016413,ISS-1065,R29718,Sponsored Spotlight,1m 29s,Web,2025-03-25
EV018497,ISS-1074,R14316,DEALS OF THE WEEK,1.6 min,phone,2025-05-28T17:59:00
EV006720,ISS-1027,R88408,new arrivals,31,TABLET,2024-07-03T11:24:00
EV015345,ISS-1061,R87882,DEALS OF THE WEEK,237,App,2025-02-25T16:12:00
EV007767,ISS-1031,R73193,DEALS OF THE WEEK,00:01:56,App,2024-07-30T20:01:00
EV019513,ISS-1078,R23637,Deals of the Week,00:01:30,web,2025-06-23T10:48:00
EV013214,ISS-1053,R61106,EDITORS PICKS,113,tablet,2024-12-31T00:35:00
EV016410,ISS-1065,R54390,Editor's Picks,68,TABLET,2025-03-24T01:43:00
EV008936,ISS-1036,R13660,new arrivals,None,PC,2024-09-04
EV005265,ISS-1021,R28086, Deals of the Week,3m 13s,mobile,2024-05-22T02:54:00
EV018119,ISS-1072,R22653,New  Arrivals,0.4 min,TABLET,2025-05-12T05:54:00
EV004955,ISS-1020,R88357,deals,90,tablet,15-May-24
EV003544,ISS-1014,R37551,Home & Living,00:00:29,App,2024-04-03T07:25:00
EV011850,ISS-1047,R43512,Home  & Living,00:00:53,desktop,2024-11-20T20:50:00
EV013922,ISS-1056,R13714,home & living,1m 17s,web,2025-01-21T00:43:00
EV004379,ISS-1017,R61408,Editor’s Picks,0.8 min,Mobile,22-Apr-24
EV006266,ISS-1025,R13144,Deals ,260,Web,N/A
EV018297,ISS-1073,R15086,Tech and Gadgets,123,Android,05/19/2025
EV000257,ISS-1001,R46286,Deals of the Wek,1m 40s,PC,2024-01-01T11:17:00
EV010350,ISS-1042,R56561,new_arrivals,0m 32s,App,10/14/2024
EV004445,ISS-1018,R18101,new arrivals,3.5 min,tablet,2024-04-30
EV014644,ISS-1059,R54655,EDITORS PICKS,,PC,2025-02-10T11:23:00
EV011336,ISS-1046,R83688,EDITORS PICKS,0m 53s,tablet,2024-11-13T22:24:00
EV015396,ISS-1061,R62147,NewArrivals,91,Desktop,2025-02-26T20:52:00
EV018317,ISS-1073,R72567,Tech & Gadgets,195,tablet,NA
EV012107,ISS-1049,R45895,Deals of the Week,77,Tablet,2024-12-02
EV013716,ISS-1055,R51529,Home and Living,00:01:24,mobile app,"Jan 15, 2025"
EV016827,ISS-1067,R63313,Reader Q&A,9,Android App,2025-04-07T12:01:00
EV008046,ISS-1032,R48252,NewArrivals,17,desktop,2024-08-05
EV019206,ISS-1077,R06581,DEALS OF THE WEEK,258,web,2025-06-16T13:43:00
EV009311,ISS-1037,R37515, Deals of the Week,0m 35s,Android App,2024-09-11
EV005290,ISS-1021,R71528,DEALS OF THE WEEK,118,iPad,2024-05-21 11:37:00
EV013752,ISS-1055,R70935,Tech and Gadgets,1.1 min,Web,2025-01-13T10:46:00
EV010548,ISS-1043,R52878,DEALS OF THE WEEK,3.2 min,App,2024-10-22
EV001754,ISS-1007,R77989,Editor’s Picks,0.6 min,tablet,14-Feb-24
EV014120,ISS-1057,R58027,New Arrivals,37,TABLET,2025-01-29
EV009372,ISS-1037,R64667,tech & gadgets,157,Android,2024-09-10
EV006753,ISS-1027,R49920,Deals ,43,Mobile,2024-07-03T23:31:00
EV002807,ISS-1011,R01070,Tech & Gadgets,3m 13s,desktop,2024-03-11T19:20:00
EV010758,ISS-1044,R54985,New Arrivals,0m 50s,iOS App,2024-10-30T17:31:00
EV004962,ISS-1020,R40770,Deals of the Wek,13,Android,2024-05-14T14:53:00
EV008960,ISS-1036,R28743,NewArrivals,-5,TABLET,2024-09-02T05:46:00
EV013321,ISS-1053,R46416,New Arrivals,-30,TABLET,2024-12-31T18:22:00
EV006639,ISS-1027,R26012,new_arrivals,0m 32s,iOS App,2024-07-02
EV012372,ISS-1050,R44105,SPONSORED SPOTLIGHT,11,tablet,12/09/2024
EV019675,ISS-1078,R74783,Tech / Gadgets,79,app,2025-06-25T23:58:00
EV015467,ISS-1062,R84289,Tech & Gadgets,75,app,2025-03-05T19:23:00
EV003573,ISS-1014,R50211,editor's picks,76,MOBILE,"Apr 01, 2024"
EV016939,ISS-1067,R12690,DEALS OF THE WEEK,00:00:33,web,"Apr 07, 2025"
EV017426,ISS-1069,R48626,DEALS OF THE WEEK,143,iPad,2025-04-21T18:23:00
EV001771,ISS-1007,R83707,new arrivals,38,TABLET,14-Feb-24
EV019450,ISS-1078,R29768,Tech and Gadgets,00:02:14,Android App,2025-06-24T05:49:00
EV017245,ISS-1068,R23361,Q&A,0m 54s,Tablet,2025-04-15T20:59:00
EV017074,ISS-1067,R67681, Deals of the Week,71,mobile app,2025-04-09T15:12:00
EV000221,ISS-1001,R04966,Editor's Picks,6916,web,2024-01-01
EV003866,ISS-1015,R52879,Tech and Gadgets,00:01:47,iOS App,2024-04-08
EV012194,ISS-1049,R39690,deals of the week,00:02:37,web,2024-12-02T13:38:00
EV011108,ISS-1045,R41458,Tech / Gadgets,99,Web,2024-11-05T01:50:00
EV014811,ISS-1059,R69061,Tech / Gadgets,200,App,02/10/2025
EV017620,ISS-1070,R54794,tech & gadgets,16,App,2025-04-29
EV007099,ISS-1029,R04422,Editor’s Picks,1.7 min,App,2024-07-16T14:49:00
EV016610,ISS1066,R22811,Deals of the Wek,129,web,"Mar 31, 2025"
